epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,635.443,0.80484,2.3384,1.08777,0.67718,0.55728,0.59116,0.50047,0.65722,1.7092,0.94119,0.000237,0.000237,0.000237
2,1267.32,0.73901,1.28941,1.03623,0.67671,0.5888,0.64167,0.54041,0.67571,1.6466,0.94685,0.000465595,0.000465595,0.000465595
3,1901.39,0.73095,1.13167,1.02503,0.74627,0.6316,0.64162,0.5541,0.61455,1.34879,0.9314,0.000684765,0.000684765,0.000684765
4,2535.55,0.7088,1.04016,1.02095,0.78994,0.63991,0.6963,0.59338,0.62842,1.1373,0.93867,0.000671588,0.000671588,0.000671588
5,3169.29,0.6956,0.93957,1.01745,0.708,0.68197,0.68367,0.59026,0.59056,1.05227,0.92236,0.000657451,0.000657451,0.000657451
6,3802.7,0.6754,0.8763,1.00846,0.7718,0.66273,0.71152,0.62404,0.56248,1.03565,0.9183,0.000643314,0.000643314,0.000643314
7,4437.52,0.65722,0.83148,0.99804,0.75873,0.66363,0.70182,0.60691,0.56411,0.9139,0.91398,0.000629177,0.000629177,0.000629177
8,5071.65,0.65493,0.78273,0.99719,0.76411,0.68141,0.70823,0.62208,0.53816,0.9166,0.90606,0.00061504,0.00061504,0.00061504
9,5714.32,0.64316,0.74518,0.99142,0.7827,0.68653,0.72094,0.63498,0.54658,0.83256,0.90242,0.000600902,0.000600902,0.000600902
10,6356.07,0.63972,0.71774,0.9903,0.81886,0.70234,0.7438,0.65203,0.53765,0.80017,0.90528,0.000586765,0.000586765,0.000586765
11,7000.61,0.61915,0.68106,0.98009,0.80783,0.66436,0.71121,0.63167,0.52102,0.80917,0.90195,0.000572628,0.000572628,0.000572628
12,7642.67,0.61285,0.66331,0.97626,0.79661,0.65908,0.71459,0.64064,0.51994,0.84078,0.90225,0.000558491,0.000558491,0.000558491
13,8271.61,0.61114,0.65298,0.97758,0.82601,0.6675,0.73374,0.65852,0.51065,0.7717,0.89577,0.000544354,0.000544354,0.000544354
14,8900.02,0.59958,0.64068,0.97015,0.80941,0.6666,0.73233,0.64209,0.54366,0.7885,0.90387,0.000530216,0.000530216,0.000530216
15,9528.56,0.59835,0.62126,0.97376,0.77692,0.71285,0.7391,0.66023,0.50699,0.73807,0.88864,0.000516079,0.000516079,0.000516079
16,10161.8,0.59265,0.60109,0.96866,0.82654,0.69982,0.75936,0.67941,0.49955,0.66824,0.89486,0.000501942,0.000501942,0.000501942
17,10793.7,0.59112,0.58666,0.96801,0.85873,0.67053,0.75148,0.6685,0.51048,0.70937,0.88812,0.000487805,0.000487805,0.000487805
18,11427,0.58641,0.58531,0.96707,0.80915,0.70838,0.7519,0.67317,0.48623,0.65088,0.88243,0.000473668,0.000473668,0.000473668
19,12061.5,0.57398,0.55059,0.95667,0.86786,0.66903,0.75295,0.67203,0.50017,0.69623,0.8932,0.00045953,0.00045953,0.00045953
20,12695.5,0.5635,0.55664,0.95416,0.82508,0.69461,0.75259,0.67991,0.48428,0.67343,0.89302,0.000445393,0.000445393,0.000445393
21,13330.5,0.5657,0.54143,0.95624,0.81224,0.70731,0.75614,0.67868,0.47613,0.65166,0.8834,0.000431256,0.000431256,0.000431256
22,13964.1,0.55995,0.53508,0.95591,0.79508,0.7041,0.75398,0.68117,0.483,0.68541,0.88538,0.000417119,0.000417119,0.000417119
23,14599.9,0.55837,0.53382,0.95439,0.83209,0.68693,0.74977,0.6779,0.46451,0.64228,0.88152,0.000402982,0.000402982,0.000402982
24,15235.4,0.55415,0.51556,0.95104,0.83125,0.7026,0.76879,0.69629,0.46771,0.65534,0.87813,0.000388844,0.000388844,0.000388844
25,15871.3,0.54486,0.49934,0.94539,0.85161,0.70999,0.77896,0.70558,0.47284,0.6172,0.88331,0.000374707,0.000374707,0.000374707
26,16505.7,0.53679,0.48652,0.94366,0.83454,0.70341,0.76018,0.69095,0.45664,0.59402,0.88139,0.00036057,0.00036057,0.00036057
27,17141.8,0.53373,0.4756,0.9367,0.80853,0.70947,0.74879,0.67964,0.46783,0.66815,0.87755,0.000346433,0.000346433,0.000346433
28,17777.9,0.52665,0.47566,0.93733,0.84093,0.70426,0.75253,0.68733,0.45407,0.62741,0.87592,0.000332296,0.000332296,0.000332296
29,18411.4,0.52876,0.47456,0.93977,0.8345,0.69248,0.76294,0.69668,0.45274,0.60216,0.87491,0.000318158,0.000318158,0.000318158
30,19043,0.52754,0.46753,0.93637,0.85931,0.71101,0.78174,0.71005,0.45473,0.59602,0.88054,0.000304021,0.000304021,0.000304021
31,19671.1,0.52124,0.45594,0.93229,0.86417,0.67572,0.75624,0.69154,0.44768,0.59622,0.87673,0.000289884,0.000289884,0.000289884
32,20303.4,0.51566,0.44529,0.9326,0.8618,0.69228,0.76732,0.69714,0.44728,0.58672,0.87464,0.000275747,0.000275747,0.000275747
